dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
588017625610649675,160.5559,41.61097,0.0799726,3.538428,0.9610563,1.112449,3818,2,41,49,E,fpC-003818-r2-0049.fit.gz
588017625623167135,199.6907,43.23536,0.0523029,4.362691,0.9608091,1.198557,3818,2,41,240,E,fpC-003818-r2-0240.fit.gz
587736545778991181,235.93,4.253806,0.0422969,3.039633,0.9606908,0.9455733,3910,2,40,172,E,fpC-003910-r2-0172.fit.gz
587742549608235242,222.2301,15.24725,0.066679,4.223568,0.9605992,0.99085,5308,1,40,200,E,fpC-005308-r1-0200.fit.gz
588017627219558598,155.1764,41.60775,0.0949815,3.295026,0.9604036,1.056922,3818,5,41,23,E,fpC-003818-r5-0023.fit.gz
588018089473016052,245.5363,27.34844,0.094467,4.470033,0.9603086,1.178863,3926,2,41,139,E,fpC-003926-r2-0139.fit.gz
587733410457976921,244.5023,35.11028,0.0313649,7.234951,0.9601678,1.252696,3180,2,40,250,E,fpC-003180-r2-0250.fit.gz
588017991237435568,229.1946,7.027,0.0387034,9.021869,0.9600829,1.088537,3903,3,41,319,E,fpC-003903-r3-0319.fit.gz
587736478675042420,240.8247,7.52575,0.049316,3.355798,0.9599284,1.06635,3894,5,40,247,E,fpC-003894-r5-0247.fit.gz
587736961847066753,215.3267,32.35925,0.0636814,5.048573,0.9598212,1.303082,4007,1,40,67,E,fpC-004007-r1-0067.fit.gz
587739810491138188,224.0427,21.99233,0.0462569,4.389153,0.9598098,1.131834,4670,3,40,174,E,fpC-004670-r3-0174.fit.gz
587739845923045487,224.4115,20.49817,0.0667536,4.645471,0.9594792,1.414582,4678,5,40,150,E,fpC-004678-r5-0150.fit.gz
587726015093211396,235.4799,1.4215,0.0848146,4.103767,0.9594399,1.203145,1458,3,40,739,E,fpC-001458-r3-0739.fit.gz
587731500258754725,152.4353,52.96069,0.0453674,4.768368,0.9592807,1.237554,2735,4,40,59,E,fpC-002735-r4-0059.fit.gz
587742062126825750,137.1411,16.04656,0.0718498,4.680972,0.9591322,1.21174,5194,5,40,160,E,fpC-005194-r5-0160.fit.gz
587742775623352352,158.2936,16.62561,0.0995231,4.785159,0.9582697,1.401913,5360,6,40,85,E,fpC-005360-r6-0085.fit.gz
587736783075868872,253.162,24.32689,0.0475073,4.781873,0.958176,1.304235,3965,4,40,171,E,fpC-003965-r4-0171.fit.gz
587731187273564379,350.6897,0.6704722,0.0679755,3.584653,0.9581332,1.10716,2662,5,40,220,E,fpC-002662-r5-0220.fit.gz
588017978379272336,244.5452,22.553,0.0515876,3.13484,0.957786,0.982047,3900,3,41,727,E,fpC-003900-r3-0727.fit.gz
587730817364066370,342.0584,-9.041778,0.0656356,4.348319,0.9576438,1.331117,2576,4,40,137,E,fpC-002576-r4-0137.fit.gz
587732772664573959,178.7873,10.82775,0.0492284,4.36321,0.9571607,1.353002,3031,6,40,391,E,fpC-003031-r6-0391.fit.gz
587731874461450288,122.2475,36.6875,0.0304692,4.983716,0.9571154,1.015718,2822,5,40,115,E,fpC-002822-r5-0115.fit.gz
588023046404112580,138.615,19.37117,0.0780757,3.642275,0.9568634,1.117783,5080,3,41,169,E,fpC-005080-r3-0169.fit.gz
587742864211312713,176.8304,17.19078,0.0685561,5.060631,0.9567435,1.089668,5381,3,40,150,E,fpC-005381-r3-0150.fit.gz
587734303269519629,338.6902,-1.082278,0.089788,3.845094,0.9565765,1.072316,3388,1,40,177,E,fpC-003388-r1-0177.fit.gz
587736586581573665,231.7097,33.14297,0.0699039,7.971357,0.9560452,1.244057,3919,6,40,178,E,fpC-003919-r6-0178.fit.gz
588016891714601060,161.6382,39.98289,0.0300679,4.8705,0.9559492,1.335598,3647,3,41,148,E,fpC-003647-r3-0148.fit.gz
587729782810345880,257.4323,34.40708,0.0792161,4.601604,0.955788,1.446911,2335,5,40,84,E,fpC-002335-r5-0084.fit.gz
587739646743543945,163.4189,30.208,0.035264,4.160133,0.955725,1.135983,4632,2,40,144,E,fpC-004632-r2-0144.fit.gz
587735348035846341,179.2217,14.51603,0.044997,3.627044,0.9553487,1.007763,3631,3,40,414,E,fpC-003631-r3-0414.fit.gz
588017605235769514,228.0007,36.65197,0.0656927,6.358539,0.9552603,1.458491,3813,4,41,449,E,fpC-003813-r4-0449.fit.gz
587742550155788518,246.5035,9.397278,0.0328681,3.660121,0.9551999,1.008982,5308,2,40,363,E,fpC-005308-r2-0363.fit.gz
587739302609944661,194.5527,33.59222,0.0738576,4.979714,0.9550512,1.406778,4552,1,40,154,E,fpC-004552-r1-0154.fit.gz
587739407874326628,233.0048,25.57167,0.0336441,5.241088,0.954841,1.382421,4576,5,40,729,E,fpC-004576-r5-0729.fit.gz
587738067802063207,114.4516,48.36897,0.0619853,5.087205,0.9543214,1.058733,4264,5,40,81,E,fpC-004264-r5-0081.fit.gz
587729652350845004,252.0731,35.90014,0.0322279,5.672016,0.954308,1.61442,2305,2,40,86,E,fpC-002305-r2-0086.fit.gz
587738409261793326,173.9748,13.70408,0.0798004,4.979191,0.9542013,1.368791,4344,1,40,231,E,fpC-004344-r1-0231.fit.gz
588017724931637458,171.8615,7.019361,0.06341,3.579318,0.9540846,1.115566,3841,3,41,47,E,fpC-003841-r3-0047.fit.gz
587732484366336050,205.9854,48.86911,0.0625937,3.759266,0.9540609,1.126464,2964,5,40,413,E,fpC-002964-r5-0413.fit.gz
587732482746482752,173.694,48.95611,0.0315984,4.881291,0.9539341,1.158288,2964,2,40,272,E,fpC-002964-r2-0272.fit.gz
587732771586375760,168.4814,9.642805,0.0412722,4.515647,0.9538895,1.327038,3031,4,40,323,E,fpC-003031-r4-0323.fit.gz
588017724933931102,177.0544,7.106361,0.0707814,4.128461,0.9538608,0.969404,3841,3,41,82,E,fpC-003841-r3-0082.fit.gz
588017949900603458,219.7833,38.13422,0.0316163,5.279296,0.9538073,1.37732,3893,6,41,353,E,fpC-003893-r6-0353.fit.gz
587742775101227087,193.5914,17.77486,0.0646682,5.299349,0.9537979,1.369124,5360,5,40,310,E,fpC-005360-r5-0310.fit.gz
587736619864162499,245.917,24.47419,0.0386641,5.086811,0.9537462,1.213933,3927,4,40,126,E,fpC-003927-r4-0126.fit.gz
587741724965797952,179.2005,23.98953,0.0520053,4.52228,0.9535506,1.251649,5116,1,40,67,E,fpC-005116-r1-0067.fit.gz
588298663043858576,207.8447,45.14828,0.0917861,4.858046,0.9535478,1.035035,3716,3,42,145,E,fpC-003716-r3-0145.fit.gz
587741490372477093,169.8993,29.1505,0.058824,3.735336,0.9535147,1.167685,5061,4,40,361,E,fpC-005061-r4-0361.fit.gz
587742013301195011,226.4988,16.65072,0.0513192,3.375056,0.9535119,1.065227,5183,2,40,612,E,fpC-005183-r2-0612.fit.gz
588295841247789063,174.1273,49.13136,0.0371115,6.224779,0.9531326,1.612945,3059,3,42,106,E,fpC-003059-r3-0106.fit.gz
587726033320345619,175.5135,3.004694,0.0405974,4.777918,0.9522889,1.365827,1462,5,40,335,E,fpC-001462-r5-0335.fit.gz
588016840167391909,116.9957,18.56692,0.0448328,3.84777,0.9522647,1.158009,3635,3,41,32,E,fpC-003635-r3-0032.fit.gz
587739719221051538,204.912,27.40458,0.0350673,4.918226,0.9522624,1.527592,4649,1,40,143,E,fpC-004649-r1-0143.fit.gz
587739408387473511,170.0933,35.07097,0.0609975,5.665507,0.9520776,1.298464,4576,6,40,367,E,fpC-004576-r6-0367.fit.gz
587742013272817734,157.8687,19.70633,0.0438841,6.26591,0.9520634,1.318899,5183,2,40,179,E,fpC-005183-r2-0179.fit.gz
587739384743395605,245.925,18.0785,0.0891146,4.249007,0.9519195,1.24282,4571,2,40,35,E,fpC-004571-r2-0035.fit.gz
587726101482307748,211.0258,4.578528,0.0880505,4.615447,0.9517927,1.326158,1478,4,40,20,E,fpC-001478-r4-0020.fit.gz
587733196235014221,199.6249,54.06642,0.032703,5.465304,0.9517875,1.388752,3130,3,40,75,E,fpC-003130-r3-0075.fit.gz
587732482197946494,139.1962,38.53767,0.0709954,4.607617,0.951708,1.364369,2964,1,40,94,E,fpC-002964-r1-0094.fit.gz
587739406779875415,178.5717,34.50142,0.0632926,3.895755,0.9515129,1.085705,4576,3,40,413,E,fpC-004576-r3-0413.fit.gz
587736541481074983,214.4696,7.992472,0.0551512,4.425463,0.9513636,1.079832,3909,2,40,127,E,fpC-003909-r2-0127.fit.gz
587729159504658632,197.8835,5.123361,0.0612304,4.499768,0.9512979,1.440481,2190,4,40,106,E,fpC-002190-r4-0106.fit.gz
587728309103165709,170.4067,2.694083,0.0487097,4.319465,0.9511847,1.11443,1992,4,40,137,E,fpC-001992-r4-0137.fit.gz
587742013298049327,219.2236,18.37064,0.048309,4.070622,0.950987,1.099894,5183,2,40,564,E,fpC-005183-r2-0564.fit.gz
587727178445029442,349.6934,-10.39925,0.0317014,7.942424,0.9505785,1.706742,1729,2,40,15,E,fpC-001729-r2-0015.fit.gz
587738947213262945,163.2836,37.75414,0.0598135,4.039399,0.9503717,1.294381,4469,3,40,335,E,fpC-004469-r3-0335.fit.gz
587736975273689354,234.1623,25.90681,0.094673,3.994957,0.9498613,1.105883,4010,2,40,141,E,fpC-004010-r2-0141.fit.gz
587739814246023211,246.4087,16.45503,0.0343137,5.381724,0.949818,1.381366,4671,2,40,125,E,fpC-004671-r2-0125.fit.gz
587729971785629958,214.3179,-1.589222,0.0772215,3.845766,0.9494346,1.229486,2379,5,40,34,E,fpC-002379-r5-0034.fit.gz
587739406778105968,173.7276,34.05581,0.073665,3.359186,0.949405,1.086586,4576,3,40,386,E,fpC-004576-r3-0386.fit.gz
587741531709243444,164.4138,27.49367,0.0453656,5.88525,0.9488792,1.419795,5071,1,40,326,E,fpC-005071-r1-0326.fit.gz
588018055659716742,240.5983,36.10989,0.0310453,4.794074,0.9488359,1.202192,3918,3,41,285,E,fpC-003918-r3-0285.fit.gz
588016890639745113,158.8047,38.52508,0.0430443,4.839668,0.9483793,1.491091,3647,1,41,131,E,fpC-003647-r1-0131.fit.gz
588017949883695237,168.6806,42.50961,0.0723133,4.450784,0.9475726,1.246207,3893,6,41,95,E,fpC-003893-r6-0095.fit.gz
587739381528068256,227.083,27.70264,0.0810198,3.993773,0.9474233,1.041609,4570,4,40,125,E,fpC-004570-r4-0125.fit.gz
587735343717155081,124.3825,6.101555,0.0948847,4.902352,0.947069,1.075247,3630,3,40,52,E,fpC-003630-r3-0052.fit.gz
588017947218477217,224.4915,34.16308,0.0884234,5.861516,0.9469213,1.257875,3893,1,41,387,E,fpC-003893-r1-0387.fit.gz
587722984432402584,198.213,1.001806,0.0742607,4.864283,0.9468836,1.475034,752,6,40,365,E,fpC-000752-r6-0365.fit.gz
588017626686619768,167.0592,43.62483,0.0755967,4.817057,0.9466044,1.544453,3818,4,41,83,E,fpC-003818-r4-0083.fit.gz
