dr7objid,ra,dec,z,petroR50_r,deVAB_r,seeing_r,run,camcol,rerun,field,Zoo1,image
587731185658167553,339.6555,-0.5281389,0.0879878,4.125076,0.999744,1.136256,2662,2,40,147,S,fpC-002662-r2-0147.fit.gz
587741533843095669,131.4278,19.72572,0.0546362,3.976241,0.9996849,1.223031,5071,5,40,118,S,fpC-005071-r5-0118.fit.gz
588017948274131099,172.0753,41.6415,0.0311525,4.780249,0.9996736,1.488309,3893,3,41,111,S,fpC-003893-r3-0111.fit.gz
587739380992835739,230.7621,25.92847,0.0605222,4.682003,0.9996669,1.263288,4570,3,40,150,S,fpC-004570-r3-0150.fit.gz
587738565481070948,126.4207,8.285334,0.0832455,3.9583,0.9993988,1.109913,4380,4,40,76,S,fpC-004380-r4-0076.fit.gz
587736546313371881,230.4062,5.250361,0.0430172,3.650008,0.9993396,0.85956,3910,3,40,134,S,fpC-003910-r3-0134.fit.gz
587738946676326551,163.3064,37.29586,0.0351374,8.272425,0.9992741,1.337751,4469,2,40,334,S,fpC-004469-r2-0334.fit.gz
587734950204342373,156.6463,12.03714,0.0319239,7.768898,0.9988662,1.286576,3538,6,40,259,S,fpC-003538-r6-0259.fit.gz
587736585509011766,234.0959,31.12308,0.0491221,9.696007,0.9988519,1.170105,3919,4,40,196,S,fpC-003919-r4-0196.fit.gz
587741532248735903,171.2025,28.75192,0.0484144,9.461348,0.9986239,1.230012,5071,2,40,366,S,fpC-005071-r2-0366.fit.gz
587727179531944052,20.30104,-9.477583,0.0423906,5.224415,0.998117,1.491403,1729,4,40,216,S,fpC-001729-r4-0216.fit.gz
587731512608424019,24.88238,-0.03130556,0.0566197,5.104353,0.9980699,1.108293,2738,3,40,84,S,fpC-002738-r3-0084.fit.gz
587741533307207691,133.6994,20.21958,0.0310066,9.067257,0.9976695,1.253183,5071,4,40,133,S,fpC-005071-r4-0133.fit.gz
588017604165107904,234.769,32.26044,0.0497873,5.018358,0.997103,1.526467,3813,2,41,496,S,fpC-003813-r2-0496.fit.gz
587735348010811668,121.4628,6.406611,0.0519319,7.053947,0.9970729,0.9549389,3631,3,40,32,S,fpC-003631-r3-0032.fit.gz
587742550688923909,238.1964,12.14578,0.0672934,3.848746,0.996924,1.040725,5308,3,40,306,S,fpC-005308-r3-0306.fit.gz
587725470131093678,126.5956,48.45436,0.0720853,4.758818,0.9966668,1.250687,1331,4,40,157,S,fpC-001331-r4-0157.fit.gz
587741489822236873,137.2546,20.89161,0.0800223,5.138676,0.9963877,1.00596,5061,3,40,157,S,fpC-005061-r3-0157.fit.gz
587736618789699606,243.7364,24.74136,0.0432205,8.815955,0.994613,1.157446,3927,2,40,115,S,fpC-003927-r2-0115.fit.gz
587741727122980985,203.6122,24.50728,0.0328546,4.109801,0.9945586,1.156838,5116,5,40,215,S,fpC-005116-r5-0215.fit.gz
587736976886857917,240.4782,24.15089,0.062939,5.11162,0.9937703,1.186091,4010,5,40,180,S,fpC-004010-r5-0180.fit.gz
588023669711896781,192.0296,20.19403,0.0642247,6.997924,0.9934366,1.184693,5225,4,41,179,S,fpC-005225-r4-0179.fit.gz
587725502871044114,251.6028,63.417,0.0418421,6.606307,0.9934325,1.500053,1339,1,40,17,S,fpC-001339-r1-0017.fit.gz
588017978375274794,236.0596,27.47989,0.06283,4.193799,0.993106,0.9899732,3900,3,41,666,S,fpC-003900-r3-0666.fit.gz
587733079206592554,200.635,52.76205,0.0601793,4.008691,0.9928399,1.241275,3103,1,40,219,S,fpC-003103-r1-0219.fit.gz
587728880330801389,132.3796,3.240361,0.0603288,4.372718,0.9924927,1.354707,2125,4,40,91,S,fpC-002125-r4-0091.fit.gz
587732135921516563,178.4313,52.72364,0.0788401,4.918983,0.9920456,1.431502,2883,4,40,175,S,fpC-002883-r4-0175.fit.gz
588848898827944167,154.8927,-1.009333,0.0433514,5.71554,0.9920181,1.255424,756,1,44,261,S,fpC-000756-r1-0261.fit.gz
587733608016511091,245.8865,39.12111,0.035061,8.94627,0.9916894,1.343199,3226,2,40,98,S,fpC-003226-r2-0098.fit.gz
587732136458190983,177.7196,53.06667,0.0665895,5.060378,0.991657,1.348399,2883,5,40,172,S,fpC-002883-r5-0172.fit.gz
587726101487223004,222.2461,4.187,0.0949244,4.579662,0.9905317,1.446053,1478,4,40,95,S,fpC-001478-r4-0095.fit.gz
588015509830762751,55.97763,0.4591389,0.0371866,6.316986,0.990227,1.089697,3325,5,41,482,S,fpC-003325-r5-0482.fit.gz
588017604701389022,233.792,33.28081,0.071658,5.451312,0.9901503,1.44306,3813,3,41,487,S,fpC-003813-r3-0487.fit.gz
587736916222673296,236.4107,9.820611,0.0969498,4.359592,0.9896072,1.041442,3996,4,40,214,S,fpC-003996-r4-0214.fit.gz
587731889500258398,163.4722,54.65789,0.078843,4.757594,0.9893958,1.449711,2826,1,40,213,S,fpC-002826-r1-0213.fit.gz
587741601490993168,174.127,26.86081,0.0332669,7.735165,0.9891591,1.2392,5087,3,40,151,S,fpC-005087-r3-0151.fit.gz
587736915678855391,220.4083,12.14525,0.0799578,3.397589,0.9890484,1.050009,3996,3,40,108,S,fpC-003996-r3-0108.fit.gz
587732577759003120,128.224,3.836833,0.0518368,7.358324,0.9889737,1.465073,2986,3,40,64,S,fpC-002986-r3-0064.fit.gz
587742190451163298,207.6716,23.30994,0.0556889,3.643296,0.9881985,1.120464,5224,4,40,346,S,fpC-005224-r4-0346.fit.gz
587735349101854820,160.8601,14.36036,0.0911129,3.926646,0.9881181,1.175367,3631,5,40,296,S,fpC-003631-r5-0296.fit.gz
587736975809183780,231.1473,27.63386,0.0684933,3.799606,0.9878725,1.108789,4010,3,40,120,S,fpC-004010-r3-0120.fit.gz
587732578295283717,126.734,4.084306,0.0559126,4.688987,0.9874377,1.375445,2986,4,40,55,S,fpC-002986-r4-0055.fit.gz
587730847966101927,324.4096,0.5075833,0.0622208,4.681421,0.9873369,1.126581,2583,5,40,143,S,fpC-002583-r5-0143.fit.gz
587738947222437963,190.1693,39.7043,0.0650444,4.542459,0.9865044,1.333392,4469,3,40,475,S,fpC-004469-r3-0475.fit.gz
