photoobjId,ra,dec,petroR50_r,deVAB_r,seeing_r,run,rerun,camcol,field,Zoo1,image
587741815710285938,153.92424859,20.9843628,1.828488,0.3657524,1.017229,5137,40,2,270,U,fpC-005137-r2-0270.fit.gz
587741828045340707,162.18073746,22.22774772,1.762137,0.4660883,1.065627,5140,40,1,72,U,fpC-005140-r1-0072.fit.gz
587741828045340709,162.17987384,22.21134455,1.329595,0.8499864,1.065627,5140,40,1,72,U,fpC-005140-r1-0072.fit.gz
587741828045340808,162.16484884,22.21928602,1.824489,0.5826603,1.065627,5140,40,1,72,U,fpC-005140-r1-0072.fit.gz
587741726579621994,187.28558157,25.24268591,1.73959,0.5357834,1.060332,5116,40,4,116,U,fpC-005116-r4-0116.fit.gz
587742062696661231,217.12767577,20.26067199,1.545256,0.8595873,1.674267,5194,40,6,663,U,fpC-005194-r6-0663.fit.gz
587742062697250993,218.43488504,20.12521909,1.72898,0.2763391,1.299942,5194,40,6,672,U,fpC-005194-r6-0672.fit.gz
587741727114264599,181.66626984,25.75232465,3.691636,0.5706384,1.279118,5116,40,5,82,U,fpC-005116-r5-0082.fit.gz
587741828586274951,172.10701951,23.88390811,2.233585,0.8630605,0.9736575,5140,40,2,134,U,fpC-005140-r2-0134.fit.gz
587741727114264600,181.65863977,25.75021203,5.064165,0.7873815,1.279118,5116,40,5,82,U,fpC-005116-r5-0082.fit.gz
587741532253192291,182.76529543,29.41787678,2.28416,0.6585476,1.326591,5071,40,2,434,U,fpC-005071-r2-0434.fit.gz
587741727114264655,181.65058405,25.77614403,1.517702,0.3738043,1.279118,5116,40,5,82,U,fpC-005116-r5-0082.fit.gz
587741727114264736,181.63271879,25.74646741,3.130978,0.7998183,1.279118,5116,40,5,82,U,fpC-005116-r5-0082.fit.gz
587741727114330117,181.77202148,25.65168145,0.9328551,0.9565194,1.321968,5116,40,5,83,U,fpC-005116-r5-0083.fit.gz
587741727114330130,181.78838152,25.64070404,3.230564,0.5129043,1.321968,5116,40,5,83,U,fpC-005116-r5-0083.fit.gz
587741727114330131,181.78453384,25.64346489,1.265376,0.6356779,1.321968,5116,40,5,83,U,fpC-005116-r5-0083.fit.gz
587741829656150272,162.48478454,23.72803531,4.26405,0.7501053,1.032547,5140,40,4,75,U,fpC-005140-r4-0075.fit.gz
587742015428624460,178.01565822,23.55778915,1.579492,0.4794567,1.541892,5183,40,6,306,U,fpC-005183-r6-0306.fit.gz
587742062684471430,187.26824001,23.37810277,1.764254,0.8612196,1.447301,5194,40,6,477,U,fpC-005194-r6-0477.fit.gz
587741816244404387,147.34093148,19.95261733,1.285159,0.3575147,1.136299,5137,40,3,228,U,fpC-005137-r3-0228.fit.gz
587742008972149122,128.52485973,12.28414289,1.827421,0.7694231,1.413942,5182,40,2,92,U,fpC-005182-r2-0092.fit.gz
587742009509413066,129.12428134,12.96734568,1.780984,0.6481285,1.48719,5182,40,3,98,U,fpC-005182-r3-0098.fit.gz
587742575366766796,180.69331092,18.70658938,1.331561,0.5453006,1.008505,5314,40,1,28,U,fpC-005314-r1-0028.fit.gz
587742062159593498,216.48441908,20.09017608,2.350399,0.9437882,1.269407,5194,40,5,660,U,fpC-005194-r5-0660.fit.gz
